"unitid","year","metric","value"
105330,2024,"multi_sport_ratio",1.39943342776204
105330,2024,"pct_athletes_overall",1.76147704590818
105330,2024,"pct_female_athletes",1.20792398131744
105330,2024,"pct_male_athletes",2.66334295460509
105330,2024,"total_athletes_undup",353
105330,2024,"total_varsity_sports",11
105330,2024,"womens_varsity_sports",7
105428,2024,"female_athletes_undup",85
105428,2024,"male_athletes_undup",68
105428,2024,"mens_varsity_sports",3
105428,2024,"multi_sport_ratio",1
105428,2024,"pct_athletes_overall",6.4070351758794
105428,2024,"pct_female_athletes",5.92334494773519
105428,2024,"pct_male_athletes",7.13536201469045
105428,2024,"total_athletes_undup",153
105428,2024,"total_varsity_sports",7
105428,2024,"womens_varsity_sports",4
105747,2024,"female_athletes_undup",77
105747,2024,"male_athletes_undup",80
105747,2024,"mens_varsity_sports",3
105747,2024,"multi_sport_ratio",1
105747,2024,"pct_athletes_overall",10.4111405835544
105747,2024,"pct_female_athletes",9.73451327433628
105747,2024,"pct_male_athletes",11.1576011157601
105747,2024,"total_athletes_undup",157
105747,2024,"total_varsity_sports",7
105747,2024,"womens_varsity_sports",4
105792,2024,"female_athletes_undup",55
105792,2024,"male_athletes_undup",86
105792,2024,"mens_varsity_sports",4
105792,2024,"multi_sport_ratio",1
105792,2024,"pct_athletes_overall",10.1147776183644
105792,2024,"pct_female_athletes",6.65054413542926
105792,2024,"pct_male_athletes",15.1675485008818
105792,2024,"total_athletes_undup",141
105792,2024,"total_varsity_sports",8
105792,2024,"womens_varsity_sports",4
105899,2024,"female_athletes_undup",198
105899,2024,"male_athletes_undup",322
105899,2024,"mens_varsity_sports",10
105899,2024,"multi_sport_ratio",1.17307692307692
105899,2024,"pct_athletes_overall",47.3588342440801
105899,2024,"pct_female_athletes",45.6221198156682
105899,2024,"pct_male_athletes",48.4939759036145
105899,2024,"total_athletes_undup",520
105899,2024,"total_varsity_sports",20
105899,2024,"womens_varsity_sports",10
106148,2024,"female_athletes_undup",77
106148,2024,"male_athletes_undup",78
106148,2024,"mens_varsity_sports",3
106148,2024,"multi_sport_ratio",1
106148,2024,"pct_athletes_overall",10.0388601036269
106148,2024,"pct_female_athletes",10.0260416666667
106148,2024,"pct_male_athletes",10.0515463917526
106148,2024,"total_athletes_undup",155
106148,2024,"total_varsity_sports",7
106148,2024,"womens_varsity_sports",4
106245,2024,"female_athletes_undup",127
106245,2024,"male_athletes_undup",151
106245,2024,"mens_varsity_sports",5
106245,2024,"multi_sport_ratio",1.3273381294964
106245,2024,"pct_athletes_overall",8.99967627063775
106245,2024,"pct_female_athletes",6.91344583560152
106245,2024,"pct_male_athletes",12.0607028753994
106245,2024,"total_athletes_undup",278
106245,2024,"total_varsity_sports",11
106245,2024,"womens_varsity_sports",6
106306,2024,"female_athletes_undup",19
106306,2024,"male_athletes_undup",174
106306,2024,"mens_varsity_sports",4
106306,2024,"multi_sport_ratio",1
106306,2024,"pct_athletes_overall",64.3333333333333
106306,2024,"pct_female_athletes",31.6666666666667
106306,2024,"pct_male_athletes",72.5
106306,2024,"total_athletes_undup",193
106306,2024,"total_varsity_sports",6
106306,2024,"womens_varsity_sports",2
106342,2024,"female_athletes_undup",122
106342,2024,"male_athletes_undup",273
106342,2024,"mens_varsity_sports",9
106342,2024,"multi_sport_ratio",1.1746835443038
106342,2024,"pct_athletes_overall",61.6224648985959
106342,2024,"pct_female_athletes",43.7275985663082
106342,2024,"pct_male_athletes",75.414364640884
106342,2024,"total_athletes_undup",395
106342,2024,"total_varsity_sports",18
106342,2024,"womens_varsity_sports",9
106397,2024,"female_athletes_undup",212
106397,2024,"male_athletes_undup",245
106397,2024,"mens_varsity_sports",6
106397,2024,"multi_sport_ratio",1.30634573304158
106397,2024,"pct_athletes_overall",1.7381713068614
106397,2024,"pct_female_athletes",1.44247125263659
106397,2024,"pct_male_athletes",2.11297973264338
106397,2024,"total_athletes_undup",457
106397,2024,"total_varsity_sports",15
106397,2024,"womens_varsity_sports",9
106412,2024,"female_athletes_undup",98
106412,2024,"male_athletes_undup",200
106412,2024,"mens_varsity_sports",5
106412,2024,"multi_sport_ratio",1.10738255033557
106412,2024,"pct_athletes_overall",18.2262996941896
106412,2024,"pct_female_athletes",10.8407079646018
106412,2024,"pct_male_athletes",27.359781121751
106412,2024,"total_athletes_undup",298
106412,2024,"total_varsity_sports",10
106412,2024,"womens_varsity_sports",5
106458,2024,"female_athletes_undup",143
106458,2024,"male_athletes_undup",269
106458,2024,"mens_varsity_sports",5
106458,2024,"multi_sport_ratio",1.07766990291262
106458,2024,"pct_athletes_overall",7.46376811594203
106458,2024,"pct_female_athletes",4.3202416918429
106458,2024,"pct_male_athletes",12.1719457013575
106458,2024,"total_athletes_undup",412
106458,2024,"total_varsity_sports",12
106458,2024,"womens_varsity_sports",7
106467,2024,"female_athletes_undup",94
106467,2024,"male_athletes_undup",220
106467,2024,"mens_varsity_sports",4
106467,2024,"multi_sport_ratio",1.05095541401274
106467,2024,"pct_athletes_overall",7.00111482720178
106467,2024,"pct_female_athletes",3.75249500998004
106467,2024,"pct_male_athletes",11.1111111111111
106467,2024,"total_athletes_undup",314
106467,2024,"total_varsity_sports",10
106467,2024,"womens_varsity_sports",6
106485,2024,"female_athletes_undup",63
106485,2024,"male_athletes_undup",208
106485,2024,"mens_varsity_sports",5
106485,2024,"multi_sport_ratio",1.02952029520295
106485,2024,"pct_athletes_overall",16.832298136646
106485,2024,"pct_female_athletes",6.90032858707558
106485,2024,"pct_male_athletes",29.8421807747489
106485,2024,"total_athletes_undup",271
106485,2024,"total_varsity_sports",10
106485,2024,"womens_varsity_sports",5
106704,2024,"female_athletes_undup",204
106704,2024,"male_athletes_undup",320
106704,2024,"mens_varsity_sports",6
106704,2024,"multi_sport_ratio",1.29389312977099
106704,2024,"pct_athletes_overall",7.61849374818261
106704,2024,"pct_female_athletes",4.8181388757676
106704,2024,"pct_male_athletes",12.1028744326778
106704,2024,"total_athletes_undup",524
106704,2024,"total_varsity_sports",15
106704,2024,"womens_varsity_sports",9
106713,2024,"female_athletes_undup",79
106713,2024,"male_athletes_undup",114
106713,2024,"mens_varsity_sports",8
106713,2024,"multi_sport_ratio",1.04145077720207
106713,2024,"pct_athletes_overall",42.9844097995546
106713,2024,"pct_female_athletes",41.1458333333333
106713,2024,"pct_male_athletes",44.3579766536965
106713,2024,"total_athletes_undup",193
106713,2024,"total_varsity_sports",15
106713,2024,"womens_varsity_sports",7
106810,2024,"female_athletes_undup",54
106810,2024,"male_athletes_undup",72
106810,2024,"mens_varsity_sports",4
106810,2024,"multi_sport_ratio",1
106810,2024,"pct_athletes_overall",79.746835443038
106810,2024,"pct_female_athletes",84.375
106810,2024,"pct_male_athletes",76.5957446808511
106810,2024,"total_athletes_undup",126
106810,2024,"total_varsity_sports",8
106810,2024,"womens_varsity_sports",4
107044,2024,"female_athletes_undup",133
107044,2024,"male_athletes_undup",312
107044,2024,"mens_varsity_sports",7
107044,2024,"multi_sport_ratio",1.07415730337079
107044,2024,"pct_athletes_overall",13.8802245789145
107044,2024,"pct_female_athletes",7.6878612716763
107044,2024,"pct_male_athletes",21.1382113821138
107044,2024,"total_athletes_undup",445
107044,2024,"total_varsity_sports",14
107044,2024,"womens_varsity_sports",7
107071,2024,"female_athletes_undup",123
107071,2024,"male_athletes_undup",265
107071,2024,"mens_varsity_sports",5
107071,2024,"multi_sport_ratio",1.00515463917526
107071,2024,"pct_athletes_overall",29.2168674698795
107071,2024,"pct_female_athletes",18.0351906158358
107071,2024,"pct_male_athletes",41.0216718266254
107071,2024,"total_athletes_undup",388
107071,2024,"total_varsity_sports",12
107071,2024,"womens_varsity_sports",7
107080,2024,"female_athletes_undup",157
107080,2024,"male_athletes_undup",305
107080,2024,"mens_varsity_sports",10
107080,2024,"multi_sport_ratio",1.05844155844156
107080,2024,"pct_athletes_overall",42.2689844464776
107080,2024,"pct_female_athletes",28.1867145421903
107080,2024,"pct_male_athletes",56.9029850746269
107080,2024,"total_athletes_undup",462
107080,2024,"total_varsity_sports",21
107080,2024,"womens_varsity_sports",11
107141,2024,"female_athletes_undup",102
107141,2024,"male_athletes_undup",96
107141,2024,"mens_varsity_sports",4
107141,2024,"multi_sport_ratio",1.41414141414141
107141,2024,"pct_athletes_overall",14.1428571428571
107141,2024,"pct_female_athletes",13.2985658409387
107141,2024,"pct_male_athletes",15.1658767772512
107141,2024,"total_athletes_undup",198
107141,2024,"total_varsity_sports",9
107141,2024,"womens_varsity_sports",5
107512,2024,"female_athletes_undup",252
107512,2024,"male_athletes_undup",325
107512,2024,"mens_varsity_sports",9
107512,2024,"multi_sport_ratio",1.07798960138648
107512,2024,"pct_athletes_overall",36.5189873417722
107512,2024,"pct_female_athletes",28.8329519450801
107512,2024,"pct_male_athletes",46.0339943342776
107512,2024,"total_athletes_undup",577
107512,2024,"total_varsity_sports",18
107512,2024,"womens_varsity_sports",9
107558,2024,"female_athletes_undup",93
107558,2024,"male_athletes_undup",160
107558,2024,"mens_varsity_sports",8
107558,2024,"multi_sport_ratio",1.17786561264822
107558,2024,"pct_athletes_overall",33.3333333333333
107558,2024,"pct_female_athletes",21.830985915493
107558,2024,"pct_male_athletes",48.048048048048
107558,2024,"total_athletes_undup",253
107558,2024,"total_varsity_sports",15
107558,2024,"womens_varsity_sports",7
107600,2024,"female_athletes_undup",39
107600,2024,"male_athletes_undup",65
107600,2024,"mens_varsity_sports",5
107600,2024,"multi_sport_ratio",1.54807692307692
107600,2024,"pct_athletes_overall",16.4296998420221
107600,2024,"pct_female_athletes",11.2068965517241
107600,2024,"pct_male_athletes",22.8070175438596
107600,2024,"total_athletes_undup",104
107600,2024,"total_varsity_sports",10
107600,2024,"womens_varsity_sports",5
107877,2024,"female_athletes_undup",102
107877,2024,"male_athletes_undup",153
107877,2024,"mens_varsity_sports",6
107877,2024,"multi_sport_ratio",1.12156862745098
107877,2024,"pct_athletes_overall",53.9112050739958
107877,2024,"pct_female_athletes",43.2203389830509
107877,2024,"pct_male_athletes",64.5569620253165
107877,2024,"total_athletes_undup",255
107877,2024,"total_varsity_sports",12
107877,2024,"womens_varsity_sports",6
107983,2024,"female_athletes_undup",158
107983,2024,"male_athletes_undup",307
107983,2024,"mens_varsity_sports",7
107983,2024,"multi_sport_ratio",1.06881720430108
107983,2024,"pct_athletes_overall",17.953667953668
107983,2024,"pct_female_athletes",10.44282881692
107983,2024,"pct_male_athletes",28.5051067780873
107983,2024,"total_athletes_undup",465
107983,2024,"total_varsity_sports",14
107983,2024,"womens_varsity_sports",7
108092,2024,"female_athletes_undup",58
108092,2024,"male_athletes_undup",86
108092,2024,"mens_varsity_sports",5
108092,2024,"multi_sport_ratio",1
108092,2024,"pct_athletes_overall",4.50704225352113
108092,2024,"pct_female_athletes",2.91897332662305
108092,2024,"pct_male_athletes",7.11920529801325
108092,2024,"total_athletes_undup",144
108092,2024,"total_varsity_sports",10
108092,2024,"womens_varsity_sports",5
109350,2024,"female_athletes_undup",81
109350,2024,"male_athletes_undup",228
109350,2024,"mens_varsity_sports",8
109350,2024,"multi_sport_ratio",1.01294498381877
109350,2024,"pct_athletes_overall",7.63528539659007
109350,2024,"pct_female_athletes",3.7639405204461
109350,2024,"pct_male_athletes",12.0316622691293
109350,2024,"total_athletes_undup",309
109350,2024,"total_varsity_sports",16
109350,2024,"womens_varsity_sports",8
109785,2024,"female_athletes_undup",179
109785,2024,"male_athletes_undup",147
109785,2024,"mens_varsity_sports",5
109785,2024,"multi_sport_ratio",1.28220858895706
109785,2024,"pct_athletes_overall",13.3442488743348
109785,2024,"pct_female_athletes",10.9146341463415
109785,2024,"pct_male_athletes",18.3063511830635
109785,2024,"total_athletes_undup",326
109785,2024,"total_varsity_sports",14
109785,2024,"womens_varsity_sports",9
109819,2024,"female_athletes_undup",148
109819,2024,"male_athletes_undup",275
109819,2024,"mens_varsity_sports",10
109819,2024,"multi_sport_ratio",1.04728132387707
109819,2024,"pct_athletes_overall",6.80064308681672
109819,2024,"pct_female_athletes",4.13870246085011
109819,2024,"pct_male_athletes",10.4009077155825
109819,2024,"total_athletes_undup",423
109819,2024,"total_varsity_sports",21
109819,2024,"womens_varsity_sports",11
110060,2024,"female_athletes_undup",14
110060,2024,"male_athletes_undup",89
110060,2024,"mens_varsity_sports",3
