"unitid","value","year","metric","var_type"
101365,69,2023,"yield_rate","raw"
101365,93,2024,"acceptance_rate","raw"
101365,89,2024,"application_volume","raw"
101365,-6,2024,"yield_men_vs_women","computed"
101365,70,2024,"yield_rate","raw"
101435,54,2020,"acceptance_rate","raw"
101435,21.5,2020,"act_mid50","computed"
101435,2129,2020,"application_volume","raw"
101435,91,2020,"pct_submitting_act","raw"
101435,17,2020,"pct_submitting_sat","raw"
101435,14,2020,"pct_top10_hs","external"
101435,1080.5,2020,"sat_mid50","computed"
101435,0,2020,"yield_men_vs_women","computed"
101435,19,2020,"yield_rate","raw"
101435,69,2021,"acceptance_rate","raw"
101435,22,2021,"act_mid50","computed"
101435,2404,2021,"application_volume","raw"
101435,62,2021,"pct_submitting_act","raw"
101435,7,2021,"pct_submitting_sat","raw"
101435,14,2021,"pct_top10_hs","external"
101435,1025,2021,"sat_mid50","computed"
101435,-2,2021,"yield_men_vs_women","computed"
101435,15,2021,"yield_rate","raw"
101435,66,2022,"acceptance_rate","raw"
101435,21,2022,"act_mid50","computed"
101435,2573,2022,"application_volume","raw"
101435,47,2022,"pct_submitting_act","raw"
101435,7,2022,"pct_submitting_sat","raw"
101435,1060,2022,"sat_mid50","computed"
101435,-6,2022,"yield_men_vs_women","computed"
101435,15,2022,"yield_rate","raw"
101435,71,2023,"acceptance_rate","raw"
101435,23,2023,"act_mid50","computed"
101435,2581,2023,"application_volume","raw"
101435,32,2023,"pct_submitting_act","raw"
101435,3,2023,"pct_submitting_sat","raw"
101435,1130,2023,"sat_mid50","computed"
101435,-6,2023,"yield_men_vs_women","computed"
101435,17,2023,"yield_rate","raw"
101435,69,2024,"acceptance_rate","raw"
101435,23,2024,"act_mid50","computed"
101435,2717,2024,"application_volume","raw"
101435,30,2024,"pct_submitting_act","raw"
101435,4,2024,"pct_submitting_sat","raw"
101435,1075,2024,"sat_mid50","computed"
101435,-5,2024,"yield_men_vs_women","computed"
101435,15,2024,"yield_rate","raw"
101453,67,2020,"acceptance_rate","raw"
101453,3,2020,"application_volume","raw"
101453,50,2020,"pct_submitting_act","raw"
101453,0,2020,"pct_submitting_sat","raw"
101453,100,2020,"yield_rate","raw"
101453,100,2022,"acceptance_rate","raw"
101453,4,2022,"application_volume","raw"
101453,67,2022,"pct_submitting_act","raw"
101453,0,2022,"pct_submitting_sat","raw"
101453,33,2022,"yield_men_vs_women","computed"
101453,75,2022,"yield_rate","raw"
101453,100,2023,"acceptance_rate","raw"
101453,6,2023,"application_volume","raw"
101453,67,2023,"pct_submitting_act","raw"
101453,0,2023,"pct_submitting_sat","raw"
101453,0,2023,"yield_men_vs_women","computed"
101453,100,2023,"yield_rate","raw"
101453,90,2024,"acceptance_rate","raw"
101453,19,2024,"act_mid50","computed"
101453,10,2024,"application_volume","raw"
101453,63,2024,"pct_submitting_act","raw"
101453,0,2024,"pct_submitting_sat","raw"
101453,12,2024,"yield_men_vs_women","computed"
101453,89,2024,"yield_rate","raw"
101480,64,2020,"acceptance_rate","raw"
101480,21,2020,"act_mid50","computed"
101480,10932,2020,"application_volume","raw"
101480,89,2020,"pct_submitting_act","raw"
101480,1,2020,"pct_submitting_sat","raw"
101480,955,2020,"sat_mid50","computed"
101480,-3,2020,"yield_men_vs_women","computed"
101480,19,2020,"yield_rate","raw"
101480,76,2021,"acceptance_rate","raw"
101480,19.5,2021,"act_mid50","computed"
101480,10483,2021,"application_volume","raw"
101480,71,2021,"pct_submitting_act","raw"
101480,1,2021,"pct_submitting_sat","raw"
101480,1125,2021,"sat_mid50","computed"
101480,-4,2021,"yield_men_vs_women","computed"
101480,23,2021,"yield_rate","raw"
101480,78,2022,"acceptance_rate","raw"
101480,20,2022,"act_mid50","computed"
101480,12570,2022,"application_volume","raw"
101480,53,2022,"pct_submitting_act","raw"
101480,6,2022,"pct_submitting_sat","raw"
101480,1100,2022,"sat_mid50","computed"
101480,-5,2022,"yield_men_vs_women","computed"
101480,20,2022,"yield_rate","raw"
101480,76,2023,"acceptance_rate","raw"
101480,20,2023,"act_mid50","computed"
101480,12008,2023,"application_volume","raw"
101480,45,2023,"pct_submitting_act","raw"
101480,6,2023,"pct_submitting_sat","raw"
101480,1090,2023,"sat_mid50","computed"
101480,-5,2023,"yield_men_vs_women","computed"
101480,20,2023,"yield_rate","raw"
101480,78,2024,"acceptance_rate","raw"
101480,20,2024,"act_mid50","computed"
101480,11199,2024,"application_volume","raw"
101480,45,2024,"pct_submitting_act","raw"
101480,6,2024,"pct_submitting_sat","raw"
101480,14,2024,"pct_top10_hs","external"
101480,1130,2024,"sat_mid50","computed"
101480,-3,2024,"yield_men_vs_women","computed"
101480,20,2024,"yield_rate","raw"
101541,56,2020,"acceptance_rate","raw"
101541,20.5,2020,"act_mid50","computed"
101541,432,2020,"application_volume","raw"
101541,96,2020,"pct_submitting_act","raw"
101541,7,2020,"pct_submitting_sat","raw"
101541,1160,2020,"sat_mid50","computed"
101541,30,2020,"yield_rate","raw"
101587,93,2020,"acceptance_rate","raw"
101587,19.5,2020,"act_mid50","computed"
101587,1834,2020,"application_volume","raw"
101587,100,2020,"pct_submitting_act","raw"
101587,0,2020,"pct_submitting_sat","raw"
101587,-6,2020,"yield_men_vs_women","computed"
101587,15,2020,"yield_rate","raw"
101587,74,2021,"acceptance_rate","raw"
101587,19,2021,"act_mid50","computed"
101587,1539,2021,"application_volume","raw"
101587,69,2021,"pct_submitting_act","raw"
101587,2,2021,"pct_submitting_sat","raw"
101587,930,2021,"sat_mid50","computed"
101587,-7,2021,"yield_men_vs_women","computed"
101587,31,2021,"yield_rate","raw"
101587,69,2022,"acceptance_rate","raw"
101587,19,2022,"act_mid50","computed"
101587,3131,2022,"application_volume","raw"
101587,60,2022,"pct_submitting_act","raw"
101587,4,2022,"pct_submitting_sat","raw"
101587,930,2022,"sat_mid50","computed"
101587,-6,2022,"yield_men_vs_women","computed"
101587,14,2022,"yield_rate","raw"
101587,87,2023,"acceptance_rate","raw"
101587,19,2023,"act_mid50","computed"
101587,2041,2023,"application_volume","raw"
101587,98,2023,"pct_submitting_act","raw"
101587,4,2023,"pct_submitting_sat","raw"
101587,905,2023,"sat_mid50","computed"
101587,-3,2023,"yield_men_vs_women","computed"
101587,18,2023,"yield_rate","raw"
101587,43,2024,"acceptance_rate","raw"
101587,19,2024,"act_mid50","computed"
101587,2729,2024,"application_volume","raw"
101587,61,2024,"pct_submitting_act","raw"
101587,3,2024,"pct_submitting_sat","raw"
101587,930,2024,"sat_mid50","computed"
101587,1,2024,"yield_men_vs_women","computed"
101587,33,2024,"yield_rate","raw"
101693,67,2020,"acceptance_rate","raw"
101693,2037,2020,"application_volume","raw"
101693,22,2020,"pct_top10_hs","external"
101693,-2,2020,"yield_men_vs_women","computed"
101693,18,2020,"yield_rate","raw"
101693,64,2021,"acceptance_rate","raw"
101693,1774,2021,"application_volume","raw"
101693,27,2021,"pct_top10_hs","external"
101693,-8,2021,"yield_men_vs_women","computed"
101693,22,2021,"yield_rate","raw"
101693,84,2022,"acceptance_rate","raw"
101693,25,2022,"act_mid50","computed"
101693,1690,2022,"application_volume","raw"
101693,28,2022,"pct_submitting_act","raw"
101693,1,2022,"pct_submitting_sat","raw"
101693,11,2022,"pct_top10_hs","external"
101693,-10,2022,"yield_men_vs_women","computed"
101693,19,2022,"yield_rate","raw"
101693,73,2023,"acceptance_rate","raw"
101693,25,2023,"act_mid50","computed"
101693,1735,2023,"application_volume","raw"
101693,36,2023,"pct_submitting_act","raw"
101693,1,2023,"pct_submitting_sat","raw"
101693,18,2023,"pct_top10_hs","external"
101693,-8,2023,"yield_men_vs_women","computed"
101693,23,2023,"yield_rate","raw"
101693,78,2024,"acceptance_rate","raw"
101693,25,2024,"act_mid50","computed"
101693,1805,2024,"application_volume","raw"
101693,27,2024,"pct_submitting_act","raw"
101693,3,2024,"pct_submitting_sat","raw"
101693,20,2024,"pct_top10_hs","external"
101693,-6,2024,"yield_men_vs_women","computed"
101693,19,2024,"yield_rate","raw"
101709,61,2020,"acceptance_rate","raw"
101709,22.5,2020,"act_mid50","computed"
101709,4954,2020,"application_volume","raw"
101709,89,2020,"pct_submitting_act","raw"
101709,13,2020,"pct_submitting_sat","raw"
101709,1102.5,2020,"sat_mid50","computed"
101709,-3,2020,"yield_men_vs_women","computed"
101709,16,2020,"yield_rate","raw"
101709,90,2021,"acceptance_rate","raw"
101709,22.5,2021,"act_mid50","computed"
101709,4045,2021,"application_volume","raw"
101709,68,2021,"pct_submitting_act","raw"
101709,6,2021,"pct_submitting_sat","raw"
101709,1085,2021,"sat_mid50","computed"
101709,-5,2021,"yield_men_vs_women","computed"
101709,14,2021,"yield_rate","raw"
101709,60,2022,"acceptance_rate","raw"
101709,6426,2022,"application_volume","raw"
101709,-7,2022,"yield_men_vs_women","computed"
101709,14,2022,"yield_rate","raw"
101709,54,2023,"acceptance_rate","raw"
101709,6210,2023,"application_volume","raw"
101709,-9,2023,"yield_men_vs_women","computed"
101709,15,2023,"yield_rate","raw"
101709,54,2024,"acceptance_rate","raw"
101709,6280,2024,"application_volume","raw"
101709,-5,2024,"yield_men_vs_women","computed"
101709,17,2024,"yield_rate","raw"
101879,83,2020,"acceptance_rate","raw"
101879,2739,2020,"application_volume","raw"
101879,20,2020,"pct_top10_hs","external"
101879,-3,2020,"yield_men_vs_women","computed"
101879,41,2020,"yield_rate","raw"
101879,90,2021,"acceptance_rate","raw"
101879,3410,2021,"application_volume","raw"
101879,21,2021,"pct_top10_hs","external"
101879,-6,2021,"yield_men_vs_women","computed"
101879,33,2021,"yield_rate","raw"
101879,96,2022,"acceptance_rate","raw"
101879,4009,2022,"application_volume","raw"
101879,22,2022,"pct_top10_hs","external"
101879,-2,2022,"yield_men_vs_women","computed"
101879,30,2022,"yield_rate","raw"
